LAKE_ID_WSA_50K,GAZETTED_NAME,WATERSHED_CODE_WSA_50K,WATERBODY_IDENTIFIER_WSA_50K,MAP_TITLE,DRAFT_DATE,DATUM,NUMBER_OF_MAP_SHEETS,SHEET_NO,MAP_IMAGE_FILENAME_PDF,PDF_FILE_URL
61161,CABIN LAKE,180-504200-41200-00000-0000-0000-000-000-000-000-000-000,00009CHES,CABIN LAKE,1980-07-08,NAD27,1,1 OF 1,00234701.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00234701.pdf
188254,CADORNA LAKE,349-248100-88200-00000-0000-0000-000-000-000-000-000-000,00016ELKR,CADORNA LAKE,1988-02-23,NAD27,1,1 OF 1,00023501.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00023501.pdf
180357,CAHILL LAKE,340-047200-66100-04000-0000-0000-000-000-000-000-000-000,00262SLOC,CAHILL LAKE,1982-03-29,NAD27,1,1 OF 1,00116501.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00116501.pdf
153017,CALAIS LAKE,237-701100-35500-00000-0000-0000-000-000-000-000-000-000,00453NATR,CALAIS L.,1978-04-24,NAD27,1,1 OF 1,00259201.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00259201.pdf
317386,CALAMITY LAKE,930-085500-29800-00000-0000-0000-000-000-000-000-000-000,01965ALBN,CALAMITY LAKE,1990-07-25,NAD27,1,1 OF 1,00029901.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00029901.pdf
264674,CALLAGHAN LAKE,900-097600-12900-46000-0000-0000-000-000-000-000-000-000,00105SQAM,CALLAGHAN L.,1982-08-20,NAD27,1,1 OF 1,00234801.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00234801.pdf
8400,CALLANAN LAKE,100-380400-00000-00000-0000-0000-000-000-000-000-000-000,00231MFRA,CALLANAN L. (N),1973-02-01,NAD27,1,1 OF 1,00234901.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00234901.pdf
16378,CAMERON LAKE,100-596500-78400-00700-0000-0000-000-000-000-000-000-000,01279WILL,CAMERON L.  MCDONALD L.,1977-10-10,NAD27,1,1 OF 1,00116601.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00116601.pdf
163832,CAMERON LAKE,300-697000-74600-00000-0000-0000-000-000-000-000-000-000,00759UARL,CAMERON LAKE,,NAD27,1,1 OF 1,00342601.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00342601.pdf
307387,CAMERON LAKE,920-481800-00000-00000-0000-0000-000-000-000-000-000-000,00316PARK,CAMERON LAKE,,NAD27,1,1 OF 1,00113801.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00113801.pdf
252297,CAMP ISLAND LAKE,788-057100-51700-00000-0000-0000-000-000-000-000-000-000,02335NAHR,CAMP ISLAND LAKE,1987-01-01,NAD27,1,1 OF 1,00235001.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00235001.pdf
65693,CAMP LAKE,182-209700-95100-00000-0000-0000-000-000-000-000-000-000,01286STUR,CAMP LAKE,2006-07-23,NAD83,1,1 OF 1,00354901.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00354901.pdf
,CAMP LAKE,182-209700-95100-00000-0000-0000-000-000-000-000-000-000,01286STUR,CAMP LAKE,,,1,1 OF 1,00235101.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00235101.pdf
308726,CAMP LAKE,920-627900-50800-43100-0000-0000-000-000-000-000-000-000,00252CAMB,CAMP LAKE,1969-11-01,NAD27,1,1 OF 1,00116701.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00116701.pdf
308726,CAMP LAKE,920-627900-50800-43100-0000-0000-000-000-000-000-000-000,00252CAMB,CAMP LAKE,1986-07-25,NAD27,1,1 OF 1,00235201.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00235201.pdf
22202,CAMPBELL LAKE,110-192300-00000-00000-0000-0000-000-000-000-000-000-000,00308HARR,CAMPBELL L.,1979-09-26,NAD27,1,1 OF 1,00116801.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00116801.pdf
29828,CAMPBELL LAKE,128-123700-38400-00000-0000-0000-000-000-000-000-000-000,00440STHM,CAMPBELL LAKE,1979-08-30,NAD27,1,1 OF 1,00226301.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00226301.pdf
211644,CAMSELL LAKE,480-993600-18700-00000-0000-0000-000-000-000-000-000-000,01839BABL,CAMSELL L.,1976-05-17,NAD27,2,1 OF 2,00286801.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00286801.pdf
211644,CAMSELL LAKE,480-993600-18700-00000-0000-0000-000-000-000-000-000-000,01839BABL,CAMSELL L.,1976-05-17,NAD27,2,2 OF 2,00286802.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00286802.pdf
36584,CANIM LAKE,129-360400-23900-98400-0000-0000-000-000-000-000-000-000,01447MAHD,CANIM LAKE,1973-01-01,NAD27,2,1 OF 2,00286901.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00286901.pdf
36584,CANIM LAKE,129-360400-23900-98400-0000-0000-000-000-000-000-000-000,01447MAHD,CANIM LAKE,,NAD27,1,1 OF 1,00235301.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00235301.pdf
36584,CANIM LAKE,129-360400-23900-98400-0000-0000-000-000-000-000-000-000,01447MAHD,CANIM LAKE,1973-01-01,NAD27,2,2 OF 2,00286902.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00286902.pdf
1081,CANNELL LAKE,100-047100-21600-78000-0000-0000-000-000-000-000-000-000,00713LFRA,CANNELL L.,1976-05-31,NAD27,1,1 OF 1,00235401.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00235401.pdf
126277,CANTY LAKE,230-900100-00000-00000-0000-0000-000-000-000-000-000-000,00003PARA,CANTY LAKE,1990-02-09,NAD27,1,1 OF 1,00030401.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00030401.pdf
62296,CAPOOSE LAKE,180-637900-11300-00000-0000-0000-000-000-000-000-000-000,00504UEUT,CAPOOSE L.,1978-05-02,NAD27,1,1 OF 1,00235501.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00235501.pdf
124258,CARBON LAKE,230-846900-11400-00000-0000-0000-000-000-000-000-000-000,00213PCEA,CARBON LAKE,1982-03-30,NAD27,1,1 OF 1,00116901.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00116901.pdf
48354,CARIBOO LAKE,160-466100-00000-00000-0000-0000-000-000-000-000-000-000,00560CARR,CARIBOO L.,1979-08-22,NAD27,1,1 OF 1,00235701.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00235701.pdf
130546,CARINA LAKE,230-925900-34800-00000-0000-0000-000-000-000-000-000-000,00131MESI,CARINA LAKE,1982-08-18,NAD27,1,1 OF 1,00235801.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00235801.pdf
127120,CARP LAKE,230-906800-55600-00000-0000-0000-000-000-000-000-000-000,00718CARP,CARP L.,1977-06-08,NAD27,2,1 OF 2,00287001.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00287001.pdf
127120,CARP LAKE,230-906800-55600-00000-0000-0000-000-000-000-000-000-000,00718CARP,CARP L.,1977-06-08,NAD27,2,2 OF 2,00287002.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00287002.pdf
127120,CARP LAKE,230-906800-55600-00000-0000-0000-000-000-000-000-000-000,00718CARP,CARP LAKE,1971-11-01,NAD27,2,1 OF 2,00287101.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00287101.pdf
127120,CARP LAKE,230-906800-55600-00000-0000-0000-000-000-000-000-000-000,00718CARP,CARP LAKE,1971-11-01,NAD27,2,2 OF 2,00287102.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00287102.pdf
67132,CARRIER LAKE,182-697600-92800-00000-0000-0000-000-000-000-000-000-000,01312STUL,CARRIER L.,1976-05-21,NAD27,1,1 OF 1,00235901.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00235901.pdf
170992,CARTWRIGHT LAKE,300-949900-45200-00000-0000-0000-000-000-000-000-000-000,00136COLR,1. CARTWRIGHT 2.,1971-11-01,NAD27,1,1 OF 1,00024001.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00024001.pdf
274014,CASSEL LAKE,905-323000-38900-00000-0000-0000-000-000-000-000-000-000,00534TOBA,CASSEL LAKE,1997-03-01,NAD27,1,1 OF 1,00350901.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00350901.pdf
264555,CAT LAKE,900-097600-12900-03600-3170-0000-000-000-000-000-000-000,00588SQAM,1.-CAT  2.-STUMP,1962-12-01,NAD27,1,1 OF 1,00045601.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00045601.pdf
264555,CAT LAKE,900-097600-12900-03600-3170-0000-000-000-000-000-000-000,00588SQAM,CAT LAKE,1976-06-09,NAD27,1,1 OF 1,00023701.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00023701.pdf
164364,CATHERINE LAKE,300-714900-39800-00000-0000-0000-000-000-000-000-000-000,00650UARL,CATHERINE L.,1971-04-01,NAD27,1,1 OF 1,00023601.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00023601.pdf
307198,CATHERS LAKE,920-395400-21500-43200-0000-0000-000-000-000-000-000-000,00646PARK,CATHERS LAKE,1986-02-05,NAD27,1,1 OF 1,00236001.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00236001.pdf
28743,CAVERHILL LAKE,120-506800-95400-00000-0000-0000-000-000-000-000-000-000,00142BONP,CAVERHILL LAKE,1972-02-14,NAD27,1,1 OF 1,00339601.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00339601.pdf
137155,CECILIA LAKE,231-538600-92600-00000-0000-0000-000-000-000-000-000-000,01214SMOK,CECILIA L.,1977-04-14,NAD27,1,1 OF 1,00305601.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00305601.pdf
320213,CECILIA LAKE,930-422000-00000-00000-0000-0000-000-000-000-000-000-000,00713CLAY,CECILIA LAKE,1994-03-01,NAD27,1,1 OF 1,00236101.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00236101.pdf
170563,CEDAR LAKE,300-914600-36300-00000-0000-0000-000-000-000-000-000-000,00367KHOR,CEDAR L.  (1ST),1973-02-01,NAD27,1,1 OF 1,00117001.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00117001.pdf
170563,CEDAR LAKE,300-914600-36300-00000-0000-0000-000-000-000-000-000-000,00367KHOR,CEDAR LAKE,1968-10-01,NAD27,1,1 OF 1,00117101.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00117101.pdf
309697,CEDAR LAKE,920-700700-84700-22300-0000-0000-000-000-000-000-000-000,00190SALM,CEDAR LAKE,1968-10-01,NAD27,1,1 OF 1,00117201.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00117201.pdf
23306,CERULEAN LAKE,119-425100-72000-22600-0000-0000-000-000-000-000-000-000,00248LILL,CERULEAN LAKE,1992-03-25,NAD27,1,1 OF 1,00236201.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00236201.pdf
192780,CERULEAN LAKE,349-782500-48900-00000-0000-0000-000-000-000-000-000-000,00135KOTR,CERULEAN LAKE,1985-12-23,NAD27,1,1 OF 1,00236301.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00236301.pdf
1479,CHADSEY LAKE,100-062300-02500-00000-0000-0000-000-000-000-000-000-000,00511HARR,CHADSEY LAKE,1979-12-19,NAD27,1,1 OF 1,00236401.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00236401.pdf
186419,CHAIN LAKE,349-218500-34400-00000-0000-0000-000-000-000-000-000-000,00424BULL,CHAIN  LAKE,1969-11-01,NAD27,1,1 OF 1,00046501.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00046501.pdf
173558,CHAIN LAKE,310-367800-57400-00000-0000-0000-000-000-000-000-000-000,00627SIML,CHAIN LAKE,1968-04-01,NAD27,1,1 OF 1,00046001.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00046001.pdf
173558,CHAIN LAKE,310-367800-57400-00000-0000-0000-000-000-000-000-000-000,00627SIML,CHAIN LAKE,1971-01-01,NAD27,1,1 OF 1,00045701.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00045701.pdf
173558,CHAIN LAKE,310-367800-57400-00000-0000-0000-000-000-000-000-000-000,00627SIML,CHAIN LAKE,1980-06-11,NAD27,1,1 OF 1,00305701.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00305701.pdf
47825,CHAMBERS LAKE,160-274600-00000-00000-0000-0000-000-000-000-000-000-000,01710QUES,"JOAN, CHAMBERS, AND OPHEIM LAKES",1971-11-01,NAD27,2,1 OF 2,00315001.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00315001.pdf
47825,CHAMBERS LAKE,160-274600-00000-00000-0000-0000-000-000-000-000-000-000,01710QUES,"JOAN, CHAMBERS, AND OPHEIM LAKES",1971-11-01,NAD27,2,2 OF 2,00315002.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00315002.pdf
162909,CHAMPION LAKES,300-631500-20700-00000-0000-0000-000-000-000-000-000-000,00346LARL,CHAMPION L. #2,1983-11-21,NAD27,1,1 OF 1,00046701.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00046701.pdf
162908,CHAMPION LAKES,300-631500-20700-00000-0000-0000-000-000-000-000-000-000,00339LARL,CHAMPION LAKE #1,1984-01-24,NAD27,1,1 OF 1,00046601.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00046601.pdf
162910,CHAMPION LAKES,300-631500-20700-00000-0000-0000-000-000-000-000-000-000,00352LARL,CHAMPION LAKE #3,1970-02-01,NAD27,1,1 OF 1,00046801.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00046801.pdf
162910,CHAMPION LAKES,300-631500-20700-00000-0000-0000-000-000-000-000-000-000,00352LARL,CHAMPION LAKE #3,1983-11-21,NAD27,1,1 OF 1,00024501.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00024501.pdf
61419,CHAOBORUS LAKE,180-545300-11600-39700-0000-0000-000-000-000-000-000-000,00702CHES,CHAOBORUS L.,1978-04-24,NAD27,1,1 OF 1,00046901.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00046901.pdf
210816,CHAPMAN LAKE,480-697200-00000-00000-0000-0000-000-000-000-000-000-000,00726BABL,CHAPMAN LAKE,1971-04-01,NAD27,2,1 OF 2,00254601.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00254601.pdf
210816,CHAPMAN LAKE,480-697200-00000-00000-0000-0000-000-000-000-000-000-000,00726BABL,CHAPMAN LAKE,,NAD27,1,1 OF 1,00047001.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00047001.pdf
210816,CHAPMAN LAKE,480-697200-00000-00000-0000-0000-000-000-000-000-000-000,00726BABL,CHAPMAN LAKE,1971-04-01,NAD27,2,2 OF 2,00254602.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00254602.pdf
26489,CHAPPERON LAKE,120-246600-72600-00000-0000-0000-000-000-000-000-000-000,00203NICL,CHAPPERON L.,1980-06-02,NAD27,1,1 OF 1,00236501.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00236501.pdf
229873,CHARA LAKE,600-439600-00000-00000-0000-0000-000-000-000-000-000-000,00952MSTR,CHARA LAKE,1983-06-01,NAD27,1,1 OF 1,00047101.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00047101.pdf
138227,CHARLIE LAKE,233-072000-02900-00000-0000-0000-000-000-000-000-000-000,01566LBTN,CHARLIE LAKE,1986-04-01,NAD27,2,1 OF 2,00130301.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00130301.pdf 
138227,CHARLIE LAKE,233-072000-02900-00000-0000-0000-000-000-000-000-000-000,01566LBTN,CHARLIE LAKE,,NAD27,1,1 OF 1,00236601.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00236601.pdf 
138227,CHARLIE LAKE,233-072000-02900-00000-0000-0000-000-000-000-000-000-000,01566LBTN,CHARLIE LAKE,1986-04-01,NAD27,2,2 OF 2,00130302.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00130302.pdf
279969,CHARLOTTE LAKE,910-290700-99900-00000-0000-0000-000-000-000-000-000-000,01173ATNA,CHARLOTTE L.,1973-01-01,NAD27,2,1 OF 2,00301601.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00301601.pdf
279969,CHARLOTTE LAKE,910-290700-99900-00000-0000-0000-000-000-000-000-000-000,01173ATNA,CHARLOTTE L.,1973-01-01,NAD27,2,2 OF 2,00301602.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00301602.pdf
44598,CHAUNIGAN LAKE,150-335700-13400-28700-1700-0000-000-000-000-000-000-000,00708TASR,CHAUNIGAN L.,1973-02-01,NAD27,1,1 OF 1,00236701.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00236701.pdf
264542,CHEAKAMUS LAKE,900-097600-12900-00000-0000-0000-000-000-000-000-000-000,00319SQAM,CHEAKAMUS L.,1984-09-05,NAD27,1,1 OF 1,00237001.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00237001.pdf
22067,CHEHALIS LAKE,110-090200-00000-00000-0000-0000-000-000-000-000-000-000,00197HARR,CHEHALIS LAKE,1979-11-07,NAD27,2,1 OF 2,00255001.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00255001.pdf
22067,CHEHALIS LAKE,110-090200-00000-00000-0000-0000-000-000-000-000-000-000,00197HARR,CHEHALIS LAKE,1979-11-07,NAD27,2,2 OF 2,00255002.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00255002.pdf
306819,CHEMAINUS LAKE,920-312500-00000-00000-0000-0000-000-000-000-000-000-000,00418COWN,CHEMAINUS  FULLERS  &  QUENNEL LAKES,,NAD27,1,1 OF 1,00268901.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00268901.pdf
306819,CHEMAINUS LAKE,920-312500-00000-00000-0000-0000-000-000-000-000-000-000,00418COWN,CHEMAINUS LAKE  FULLERS LAKE,1980-02-08,NAD27,1,1 OF 1,00047501.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00047501.pdf
186405,CHERRY LAKE,349-218500-31800-66100-0000-0000-000-000-000-000-000-000,00443BULL,CHERRY LAKE,1969-11-01,NAD27,1,1 OF 1,00047601.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00047601.pdf
186405,CHERRY LAKE,349-218500-31800-66100-0000-0000-000-000-000-000-000-000,00443BULL,CHERRY LAKE,1984-01-10,NAD27,1,1 OF 1,00030901.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00030901.pdf
61384,CHESLATTA LAKE,180-545300-00000-00000-0000-0000-000-000-000-000-000-000,00398CHES,CHESLATTA LAKE,1950-06-01,NAD27,2,1 OF 2,00328901.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00328901.pdf
61384,CHESLATTA LAKE,180-545300-00000-00000-0000-0000-000-000-000-000-000-000,00398CHES,CHESLATTA LAKE,1979-08-02,NAD27,1,1 OF 1,00236801.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00236801.pdf
61384,CHESLATTA LAKE,180-545300-00000-00000-0000-0000-000-000-000-000-000-000,00398CHES,CHESLATTA LAKE,1950-06-01,NAD27,2,2 OF 2,00328902.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00328902.pdf
157462,CHESTERFIELD LAKE,239-333700-26500-38300-0000-0000-000-000-000-000-000-000,00327FOXR,CHESTERFIELD LAKE,1984-02-21,NAD27,1,1 OF 1,00237101.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00237101.pdf
273783,CHICADEE LAKE,905-124500-45800-00000-0000-0000-000-000-000-000-000-000,00007PARK,CHICADEE (HENDERSON) L.,,NAD27,1,1 OF 1,00047701.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00047701.pdf 
152329,CHICHONAJILH LAKE,237-447200-60000-00000-0000-0000-000-000-000-000-000-000,01705NATR,CHICHONAJIHL L.,1978-08-23,NAD27,1,1 OF 1,00047801.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00047801.pdf
25034,CHICKEN RANCH LAKE,120-246600-33700-41300-7100-0000-000-000-000-000-000-000,01037LNIC,CHICKEN RANCH L.  MENZIES L.  KANE VALLEY CHAIN,,NAD27,1,1 OF 1,00047901.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00047901.pdf
61290,CHIEF GRAY LAKE,180-507600-34800-17300-4850-0000-000-000-000-000-000-000,01185CHES,CHIEF GRAY LAKE,1990-01-10,NAD27,1,1 OF 1,00024601.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00024601.pdf
13444,CHIEF LAKE,100-593800-25800-00000-0000-0000-000-000-000-000-000-000,01122LSAL,CHIEF LAKE,1979-11-08,NAD27,2,1 OF 2,00287201.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00287201.pdf
13444,CHIEF LAKE,100-593800-25800-00000-0000-0000-000-000-000-000-000-000,01122LSAL,CHIEF LAKE,1979-11-08,NAD27,2,2 OF 2,00287202.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00287202.pdf
63587,CHIEF LOUIS LAKE,180-640500-00000-00000-0000-0000-000-000-000-000-000-000,00358LEUT,CHIEF LOUIS L.,1976-02-20,NAD27,1,1 OF 1,00236901.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00236901.pdf
1556,CHILLIWACK LAKE,100-065700-09700-00000-0000-0000-000-000-000-000-000-000,00077CHWK,CHILLIWACK LAKE,1979-08-03,NAD27,1,1 OF 1,00237201.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00237201.pdf
8298,CHIMNEY LAKE,100-376500-00000-00000-0000-0000-000-000-000-000-000-000,01071MFRA,CHIMNEY LAKE,1968-04-01,NAD27,1,1 OF 1,00048001.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00048001.pdf
8298,CHIMNEY LAKE,100-376500-00000-00000-0000-0000-000-000-000-000-000-000,01071MFRA,CHIMNEY LAKE,1979-08-07,NAD27,1,1 OF 1,00237301.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00237301.pdf
47831,CHINA CABIN LAKE,160-274600-00000-00000-0000-0000-000-000-000-000-000-000,02420QUES,CHINA CABIN L.,1980-07-23,NAD27,1,1 OF 1,00048101.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00048101.pdf
17918,CHISEL LAKE,100-657000-76900-13500-0000-0000-000-000-000-000-000-000,01105BOWR,CHISEL LAKE,1977-10-14,NAD27,1,1 OF 1,00048301.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00048301.pdf
152270,CHOOYAZI LAKE,237-447200-16200-27000-0000-0000-000-000-000-000-000-000,01438NATR,CHOOYAZI L.,1978-08-15,NAD27,1,1 OF 1,00305901.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00305901.pdf
37843,CHRIS LAKE,129-360400-23900-98400-9950-1010-000-000-000-000-000-000,00070BRID,CHRIS L.,1975-09-04,NAD27,1,1 OF 1,00048701.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00048701.pdf
37843,CHRIS LAKE,129-360400-23900-98400-9950-1010-000-000-000-000-000-000,00070BRID,CHRIS LAKE,1991-10-30,NAD27,1,1 OF 1,00237401.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00237401.pdf 
176876,CHRISTINA LAKE,320-160600-00000-00000-0000-0000-000-000-000-000-000-000,01206KETL,CHRISTINA LAKE,1979-09-27,NAD27,3,1 OF 3,00287301.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00287301.pdf
176876,CHRISTINA LAKE,320-160600-00000-00000-0000-0000-000-000-000-000-000-000,01206KETL,CHRISTINA LAKE,,NAD27,1,1 OF 1,00237501.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00237501.pdf
176876,CHRISTINA LAKE,320-160600-00000-00000-0000-0000-000-000-000-000-000-000,01206KETL,CHRISTINA LAKE,1979-09-27,NAD27,3,2 OF 3,00287302.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00287302.pdf
176876,CHRISTINA LAKE,320-160600-00000-00000-0000-0000-000-000-000-000-000-000,01206KETL,CHRISTINA LAKE,1979-09-27,NAD27,3,3 OF 3,00287303.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00287303.pdf
37179,CHRISTMAS LAKE,129-360400-23900-98400-7260-0040-000-000-000-000-000-000,01381MAHD,CHRISTMAS LAKE,1971-11-01,NAD27,1,1 OF 1,00048501.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00048501.pdf
8973,CHUB LAKE,100-385000-98600-98900-0000-0000-000-000-000-000-000-000,01664SAJR,CHUB L.,1975-10-15,NAD27,1,1 OF 1,00237601.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00237601.pdf
10972,CHUBB LAKE,100-481100-07300-01000-5890-0460-000-000-000-000-000-000,00681COTR,CHUBB LAKE,,NAD27,1,1 OF 1,00024701.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00024701.pdf
